t;x;y
1.8333;-0.0218;0.2876
1.8750;-0.0014;0.2814
1.9167;0.0145;0.2780
1.9583;0.0325;0.2746
2.0000;0.0533;0.2684
2.0417;0.0782;0.2637
2.0833;0.1049;0.2563
2.1250;0.1343;0.2498
2.1667;0.1682;0.2407
2.2083;0.2044;0.2293
2.2500;0.2401;0.2179
2.2917;0.2808;0.2075
2.3333;0.3251;0.1976
2.3750;0.3712;0.1849
2.4167;0.4214;0.1728
2.4583;0.4729;0.1652
2.5000;0.5261;0.1661
2.5417;0.5779;0.1725
2.5833;0.6252;0.1851
2.6250;0.6702;0.1982
2.6667;0.7111;0.2090
2.7083;0.7507;0.2161
2.7500;0.7913;0.2165
2.7917;0.8292;0.2173
2.8333;0.8680;0.2132
2.8750;0.9128;0.1992
2.9167;0.9558;0.1838
2.9583;1.0016;0.1617
3.0000;1.0519;0.1396
3.0417;1.1098;0.1230
3.0833;1.1693;0.1245
3.1250;1.2237;0.1377
3.1667;1.2741;0.1526
3.2083;1.3245;0.1671
